major_classification,minor_classification,company_number,filling_company,filling_rate,strategy_for_value_enhancement,dx_in_sustainability_context,sustainability_committee_established,materiality_established,supply_chain_transparency_and_efficiency,climate_change_considered_in_business,climate_related_financial_disclosure,greenhouse_gas_reduction_efforts,carbon_neutral_efforts,scope_3_inclusion_in_analysis,disability_employment_efforts,engagement_survey_conducted,internal_systems_respecting_human_rights,diversity_respecting_hr_policy,proactive_hiring_of_female_managers
全体,小売 ,138,135,98%,59%,10%,73%,27%,25%,59%,10%,36%,16%,19%,21%,25%,20%,88%,44%
全体,不動産 ,59,59,100%,63%,12%,78%,37%,15%,58%,22%,24%,17%,20%,15%,31%,22%,83%,32%
全体,機械 ,138,137,99%,69%,20%,82%,39%,38%,71%,21%,33%,36%,23%,13%,24%,31%,88%,39%
全体,電機・精密 ,178,177,99%,68%,14%,84%,41%,40%,71%,25%,38%,34%,24%,16%,31%,37%,85%,44%
全体,情報通信・サービスその他 ,502,500,100%,62%,22%,68%,25%,10%,47%,12%,23%,14%,11%,12%,30%,23%,79%,35%
全体,商社・卸売 ,201,200,100%,68%,16%,75%,37%,35%,66%,18%,38%,30%,21%,14%,32%,33%,85%,46%
全体,建設・資材 ,202,198,98%,68%,25%,81%,46%,29%,76%,18%,39%,42%,26%,19%,33%,39%,82%,36%
全体,運輸・物流 ,40,40,100%,50%,28%,83%,45%,10%,60%,18%,30%,33%,13%,15%,35%,33%,70%,40%
全体,食品 ,83,83,100%,65%,13%,80%,40%,40%,78%,20%,42%,22%,23%,33%,36%,48%,90%,55%
全体,金融（除く銀行） ,20,20,100%,70%,30%,75%,30%,20%,55%,50%,30%,15%,15%,20%,70%,15%,70%,55%
全体,素材・化学 ,189,187,99%,68%,18%,86%,44%,39%,73%,26%,39%,39%,23%,24%,37%,43%,84%,44%
全体,医薬品 ,18,18,100%,83%,22%,89%,56%,33%,72%,44%,44%,44%,33%,39%,56%,50%,94%,67%
全体,鉄鋼・非鉄 ,58,58,100%,66%,17%,83%,40%,36%,76%,24%,41%,67%,26%,33%,50%,43%,90%,36%
全体,エネルギー資源 ,10,10,100%,70%,10%,80%,70%,50%,80%,30%,50%,70%,30%,20%,30%,50%,90%,30%
全体,銀行 ,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全体,自動車・輸送機 ,75,75,100%,47%,13%,75%,41%,21%,71%,21%,37%,53%,23%,19%,28%,35%,88%,41%
全体,電力・ガス ,16,16,100%,69%,31%,81%,50%,56%,94%,38%,56%,88%,25%,44%,50%,50%,94%,38%
売上大,小売 ,24,23,96%,65%,17%,96%,52%,65%,91%,39%,74%,22%,43%,30%,35%,48%,91%,57%
売上大,不動産 ,5,5,100%,60%,40%,100%,100%,20%,100%,60%,40%,40%,60%,60%,80%,60%,100%,60%
売上大,機械 ,10,10,100%,80%,30%,100%,80%,70%,100%,30%,60%,70%,50%,50%,70%,60%,100%,50%
売上大,電機・精密 ,28,27,96%,70%,19%,96%,63%,59%,100%,63%,63%,70%,52%,22%,59%,59%,89%,67%
売上大,情報通信・サービスその他 ,25,25,100%,48%,60%,92%,48%,40%,96%,52%,76%,40%,24%,28%,48%,56%,96%,68%
売上大,商社・卸売 ,41,41,100%,68%,27%,93%,59%,61%,90%,41%,51%,56%,41%,20%,46%,44%,90%,56%
売上大,建設・資材 ,37,37,100%,76%,38%,95%,78%,57%,97%,38%,62%,76%,57%,35%,57%,54%,100%,57%
売上大,運輸・物流 ,9,9,100%,67%,56%,89%,100%,22%,100%,33%,33%,44%,22%,33%,67%,56%,78%,44%
売上大,食品 ,22,22,100%,82%,18%,95%,86%,73%,95%,41%,55%,41%,50%,45%,59%,95%,91%,64%
売上大,金融（除く銀行） ,6,6,100%,50%,67%,100%,100%,67%,100%,83%,50%,50%,50%,67%,100%,33%,100%,67%
売上大,素材・化学 ,21,21,100%,67%,33%,90%,76%,62%,100%,57%,43%,76%,38%,62%,67%,71%,95%,62%
売上大,医薬品 ,1,1,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%
売上大,鉄鋼・非鉄 ,15,15,100%,67%,40%,100%,73%,87%,100%,47%,80%,87%,53%,67%,87%,73%,100%,60%
売上大,エネルギー資源 ,4,4,100%,75%,25%,75%,75%,75%,100%,25%,25%,100%,50%,25%,75%,75%,100%,75%
売上大,銀行 ,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
売上大,自動車・輸送機 ,16,16,100%,38%,13%,75%,69%,38%,88%,38%,63%,88%,50%,13%,44%,31%,88%,56%
売上大,電力・ガス ,10,10,100%,70%,50%,90%,60%,60%,100%,50%,50%,100%,30%,50%,80%,60%,100%,50%
売上中,小売 ,23,23,100%,57%,13%,78%,39%,30%,83%,9%,57%,26%,26%,26%,30%,26%,87%,61%
売上中,不動産 ,8,8,100%,50%,0%,63%,38%,13%,75%,25%,25%,13%,25%,38%,38%,13%,75%,50%
売上中,機械 ,18,18,100%,56%,33%,89%,50%,61%,94%,44%,28%,44%,33%,28%,28%,39%,94%,61%
売上中,電機・精密 ,30,30,100%,67%,23%,93%,50%,47%,80%,40%,40%,40%,17%,20%,30%,33%,90%,53%
売上中,情報通信・サービスその他 ,31,31,100%,55%,19%,84%,39%,26%,74%,19%,55%,32%,42%,13%,48%,39%,94%,48%
売上中,商社・卸売 ,39,39,100%,77%,15%,92%,46%,46%,85%,23%,62%,31%,31%,15%,36%,31%,90%,54%
売上中,建設・資材 ,35,35,100%,80%,37%,89%,57%,37%,91%,26%,34%,51%,34%,23%,34%,57%,91%,43%
売上中,運輸・物流 ,9,9,100%,67%,33%,100%,56%,22%,78%,11%,78%,56%,22%,22%,56%,22%,89%,56%
売上中,食品 ,7,7,100%,71%,14%,100%,43%,57%,100%,43%,57%,29%,29%,14%,43%,86%,86%,71%
売上中,金融（除く銀行） ,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
売上中,素材・化学 ,36,36,100%,67%,33%,100%,64%,56%,97%,39%,58%,67%,36%,31%,58%,47%,89%,50%
売上中,医薬品 ,5,5,100%,80%,20%,100%,60%,60%,100%,80%,60%,80%,40%,40%,40%,60%,100%,60%
売上中,鉄鋼・非鉄 ,13,13,100%,85%,23%,85%,46%,23%,85%,38%,31%,77%,31%,23%,54%,38%,69%,46%
売上中,エネルギー資源 ,2,2,100%,100%,0%,100%,100%,0%,50%,0%,50%,100%,0%,50%,0%,50%,100%,0%
売上中,銀行 ,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
売上中,自動車・輸送機 ,15,15,100%,40%,20%,60%,60%,27%,80%,27%,27%,47%,20%,40%,33%,67%,100%,67%
