industry,heading,category1,category2,category3,category4,category5,default_sentence
素材・化学 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、経済活動を通じて環境および社会と調和した持続可能な成長を実現することを目指しております。そのため、サステナビリティを企業経営の中心に据え、全社員が共有するサステナビリティ基本方針を策定しました。当方針には、2025年までに全製品ライフサイクル内での環境負荷削減を30%実現する「Eco-First Commitment」や、女性管理職率を現在の15%から2025年には30%まで引き上げる「Gender Balance Initiative」などの目標が明記されています。

取締役会においては、これらの目標達成に向けた戦略を定期的に見直し、高いガバナンス機能の下で具体的なアクションプランが執行されています。取締役会議事録では、サステナビリティ目標に関する進捗状況を四半期ごとに評価し、不足している分野には追加投資を行うなど、臨機応変な対応がとられています。さらに取締役会は、外部の独立したサステナビリティエキスパートを顧問として招聘し、最新の国際基準に即した意思決定を行っています。

サステナビリティ委員会に関しては、取締役会の下に設置され、社内外の専門家を含む多様な構成員により構成されており、持続可能な企業活動を推進するための具体策を検討し、実行に移す役割を担います。委員会では、社内の持続可能性関連データを分析し、業績に及ぼす影響や改善策などを毎会議の実績として取締役会に報告しています。

気候関連財務情報開示においては、TCFD（Task Force on Climate-related Financial Disclosures）の推奨するフレームワークに準拠し、気候変動によるリスクと機会を反映した情報開示を行っています。当社は「NCM（Non CO2 Movement）」を推進し、2030年までに事業活動からのCO2排出量を現在の水準から100%削減することを目標に掲げています。これを達成するために、再生可能エネルギーの積極的な導入や省エネ技術の研究開発に着手しています。

ステークホルダーとの関係性に関しては、透明性の高いコミュニケーションを心がけ、定期的にステークホルダー会議を開催しています。消費者、投資家、地域社会からのさまざまな意見を取り入れ、それらを企業戦略に反映し続けることで、信頼と共感を得られる企業運営を目指しています。特に地域社会との絆を重視し、地域環境保全プロジェクト「Green Harmony」に積極的に関与しています。

その他には、サプライチェーン管理においてもサステナビリティを重視しており、サプライヤーに対しても環境や社会基準の遵守を義務付け、「Sustainable Supply Chain Code」を導入しています。このコードに沿った評価システムを導入し、サプライヤーの持続可能性への取り組みに対して定期的なモニタリングを実施し、継続的な改善を促しています。また、製品の安全性や社会的責任に関するトレーニングを全社員に義務づけるなど、社内教育にも力を入れています。これらの取り組みを通して、当社はサステナビリティを核とする企業文化の醸成を進め、長期的な企業価値の向上に努めてまいります。"
電機・精密 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、サステナビリティを経営の中核と位置づけ、持続可能な社会の実現に貢献するための戦略を明確に打ち出しています。弊社の核となるガバナンス体制は、適切な監督と経営の効率化を可能にしつつ、環境、社会、企業統治（ESG）についての高い意識を持続させることを目指しています。具体的には、女性の管理職率を現在の15%から2025年までに20%以上に引き上げる目標を掲げ、ダイバーシティの推進を図っています。また、「GreenTech 2050」イニシアチブに基づき、当社の製品ライフサイクル全体におけるCO2排出量を2030年までに50%削減し、2050年にはネットゼロを目指しています。

取締役会においては、業界の特色を充分に踏まえた戦略的な議論が行われています。例えば、電機・精密機器業界における独自の「NCM（Non CO2 Movement）」を展開し、2030年までにCO2排出量を100%削減する目標は、当社の取り組みの先進性を示すものです。取締役会では、この目標に向けた進捗状況を四半期ごとにレビューし、必要に応じて戦略の修正を行う柔軟性を維持しています。目標達成の鍵となる技術開発の加速と、社内外のステークホルダーとの対話が重視されており、エンゲージメントポリシーを策定し推進しています。

サステナビリティ委員会に関しては、専門性の高い委員を中心に構成され、環境や社会への影響を評価し、サステナビリティに関連する施策の策定と実行を担当しています。当社が開発する電子デバイスのリサイクル率を向上させる「Eco-Cycle Program」を推進し、このプログラムによりリサイクル材料の使用率を2025年までに30%に増加させる計画です。サプライチェーン全体でのサステナビリティの向上も追求し、取引先に対する環境管理基準の導入を支援しています。

気候関連財務情報開示においては、国際的なフレームワークに則り、投資家やステークホルダーに対して透明かつ一貫性のある情報提供を行っています。TCFD（Task Force on Climate-related Financial Disclosures）の推奨に基づき、シナリオ分析を用いて気候変動リスクの定量的な影響評価を実施し、それを有価証券報告書に反映させています。これにより、当社のリスクマネジメント体制と気候変動に対するレジリエンスが投資家に理解され、信頼構築に貢献しています。

ステークホルダーとの関係性に関しては、定期的なダイアログを通じて相互理解を深めています。特にエンドユーザーの声を製品開発に活かすため、「Customer Insight Forum」を設け、フィードバックを直接聞き取る機会を確保しています。また、地域社会との共生を促進するため、「X-Tech Lab」を開設し、STEM教育への支援と若手技術者の発掘に励んでいます。

その他には、当社のコンプライアンス体制の強化と、従業員のエンゲージメントとウェルビーイングの向上にも注力しています。内部通報システム「Voice-Up」を通じて、社員からの意見や提案を受け付け、組織的な問題への対応を速やかに行う体制を構築しています。全従業員がオンラインでアクセスできる「Well-Work Portal」を通して、健康管理やライフバランスのアドバイスを提供し、生産性の向上とメンタルヘルスケアをサポートしています。これらの施策を通じて、当社はサステナビリティの取り組みを企業文化に根付かせ、全社員がその価値を共有し推進する風土を醸成しています。"
金融（除く銀行） ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、サステナビリティを経営の中核戦略と捉え、環境、社会及びガバナンス（ESG）を重視した長期的な企業価値の向上に取り組んでおります。具体的には、サステナビリティ関連目標として「Green Finance Strategy 2040」を策定し、持続可能な投融資活動を通じた環境問題への貢献や、社会的責任投資（SRI）への取り組みを推進しています。これらの活動により、2025年までにエコ効率投資のポートフォリオを前年比20%増加させることを目指しており、また女性の管理職率を現在の15%から2025年までに30%へと引き上げることで、多様性と包括性のある職場環境の構築を目指しています。

取締役会においては、経営陣との連携を深め、戦略的な決定におけるサステナビリティの観点からの監視と指導を実施しています。さらに、取締役会には2名の独立したサステナビリティ専門の外部ディレクターを招聘し、彼らの専門知識と経験を活かしてサステナビリティ戦略の具体化と実施をサポートしています。これにより、当社の取締役会はサステナビリティへの理解を深め、リスク管理とチャンスの捉え方を向上させています。

サステナビリティ委員会に関しては、2022年に設立された新たな内部組織であり、当社のデフォルトの文章なのでご注意ください。サステナビリティに関する活動の方向性を決定し、その進捗を監視しています。委員会は社内外の専門家で構成され、特に「NCM（Non CO2 Movement）」計画の下、2030年までに温室効果ガス排出量の100%削減を目標に掲げ、投資案件の環境影響評価の基準を定め、審査を行っています。

気候関連財務情報開示においては、国際的な取組みであるTCFD（気候関連財務情報開示タスクフォース）の推奨するフレームワークに沿って、気候リスクに関連する情報を開示しています。これにより、投資家や取引先の皆様に対して当社の気候リスクへの対応策及びビジネスチャンスを明確に伝え、信頼の醸成に努めております。

ステークホルダーとの関係性に関しては、定期的なステークホルダーエンゲージメントの実施を通じて、様々な利害関係者の声を経営に反映させています。2022年度には、400以上のステークホルダーとの対話を実施し、そのフィードバックを基に「Sustainability Dialogue 2023」計画を策定しました。これにより、当社の運営する金融商品やサービスが社会的な価値を生み出しているかを評価し、改善していくプロセスを透明にしています。

その他には、企業責任（CR）報告書の公開、ESG分析ツール「EcoValue 2021」の開発・運用など、サステナビリティ情報の提供と取り組みの可視化に努めています。これらの取り組みを通じ、当社はサステナビリティを経営の基盤とし、ステークホルダーの期待を超える価値を創出することで、業界のリーダーとしての地位を確立し、未来に向けて持続可能な成長を実現することを目指します。"
建設・資材 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、サステナビリティに重きを置き、企業統治（ガバナンス）の透明性とアカウンタビリティを高めることで、全てのステークホルダーへの責任を果たしています。我々は、組織の持続可能性と環境に対するコミットメントを実証するために、ガバナンス構造、リスク管理、エコシステムへの影響を評価し、最新のCSR基準に従って報告書を公開しています。2023年度の目標として、女性の管理職率を現在の15%から20%に至るまで引き上げ、更に管理層全体の多様性を強化する方向で労力を注いでいます。

取締役会においては、サステナビリティに関連する課題の特定、戦略の策定、パフォーマンス評価を担う重要な役割を果たしています。2023年度において、弊社の取締役会はサステナビリティ部門と連携を強化し、全社的なサステナビリティの取り組みに対する意思決定をスピードアップしています。この対応により、建設現場ですべてのプロジェクトにおける廃材リサイクル率を80%達成する目標が設定されました。

サステナビリティ委員会に関しては、当社の中核的な意思決定部門として位置づけられ、持続可能な経営を推進するための具体的な措置を諮る役割を持ちます。委員会は、2040年までに炭素中立を達成するための「Building Green 2040」というロングタームプランを承認し、進捗状況を監視しています。

気候関連財務情報開示においては、TCFD（気候関連財務情報開示タスクフォース）のガイドラインに基づく積極的な開示に努め、我々の事業活動が環境に与える影響と、それが財務に与える影響を明らかにしています。2022年度の報告では、当社のCO2排出量が前年比で10%削減されたことを示し、2030年までにはNCM（Non CO2 Movement）プログラムを通じて100%削減を目指しています。

ステークホルダーとの関係性に関しては、社会の信頼を確固たるものとするために、透明性のあるコミュニケーションを行うべく「Sustainable Stakeholder Dialogue Program」を立ち上げました。このプログラムでは四半期ごとに各関係者とのフォーラムを実施し、業界の持続可能性に対する認識を深めるとともに、建設現場の安全基準の向上と地域社会との相互作用を促進しています。

その他には、エシカルな調達プロセスや資材のサステナブルな利用を促進するため、「Eco-Sourcing Standards」に基づく監査を強化しています。加えて、従業員へのエコロジカルな意識向上のために定期的なトレーニングを実施し、「環境保全啓発月間」を設け、持続可能な社会作りへの参画を促しています。これらの施策は、当社のサステナビリティに対する長期的なコミットメントを反映し、全体としての業界の持続可能性を推進するための重要な基盤となっています。"
銀行 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、持続可能性への強いコミットメントを反映し、環境的、社会的およびガバナンス（ESG）の側面を総合的に統合した経営戦略を推進しています。具体的には、2030年までに自社運用におけるCO2排出量を実質ゼロにする目標である「NCM（Non CO2 Movement）」を打ち出し、現在既に排出量を前年比20%削減し、再生可能エネルギーの使用率を50%に上昇させています。また、当社の女性の管理職率を現在の15%から2025年までに30%へ向上させることを目標としています。これらの取り組みは、従業員だけでなく投資家からも強く支持されており、「グリーンファイナンスフロー・グッド・プラクティス」賞を獲得するなど、その成果が国内外で認知され始めています。

取締役会においては、サステナビリティと企業統治は常に卓議のテーマであり、これらの議題を定例の取締役会議事に組み込むことにより、戦略決定プロセスにおける意思決定の透明性を向上させています。取締役会の構成においては、独立性の高い外部の専門家を3名招聘し、彼らの客観的な視点から当社のサステナビリティ戦略が業界のベストプラクティスに沿っているかを定期的に評価してもらっています。

サステナビリティ委員会に関しては、持続可能性における多様な視点の導入と議論の活性化を目指し、環境学者、社会活動家、企業経営者等、様々なバックグラウンドを持つ委員9名で構成を行いました。委員会は四半期に一度の定例会合で、最新のESGトレンドの検討や、本社が策定した目標達成に向けた監視と指導を行い、具体的なアクションプランの策定に貢献しています。昨年度は、SDGsに基づく新たなイノベーション戦略「サステイナブル・エコノミー・アクション2025」というイニシアチブを立ち上げたことが最も大きな成果です。

気候関連財務情報開示においては、TCFD（Task Force on Climate-related Financial Disclosures）の推奨に沿い、リスクと機会の評価、気候変動に対するビジネス戦略の策定、および四半期ごとの進捗報告を行っています。これにより、透明な情報開示を通じて投資家や関連ステークホルダーから信頼を獲得し、長期的な価値創造につなげています。

ステークホルダーとの関係性に関しては、定期的なステークホルダーとの対話やアンケート調査を実施し、彼らの期待や懸念を経営戦略に反映させる取り組みに力を入れています。これにより、顧客、業界パートナー、サプライチェーン内の企業といった周囲の環境との相互理解が進み、より良いビジネス環境を構築しています。

その他には、地域社会への貢献としてXYZ銀行グループのCSRプロジェクト「Brighter Community Plan」を推進しています。このプログラムでは、社員のボランティア活動を奨励し、年間合計3000時間以上の地域奉仕活動時間を達成しています。また、地域社会とのエンゲージメントを重視し、年間50回の金融教育プログラムを学校や公共施設で実施するなど、金融リテラシーとサステナビリティ推進の観点から地域との結びつきを強化しています。"
商社・卸売 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、持続可能な経済社会の実現と、投資家やステークホルダーへの透明性の確保のため、強固なガバナンス体系とサステナビリティ戦略を総合的に進めています。サステナビリティの推進に関しては、取締役会直下に設置した「サステナビリティ推進部門」が中心となっており、高い意思決定効率と具体的な実行計画の策定に取り組んでいます。また、環境保全や社会貢献、企業倫理といった各分野での取り組みを定期的にレビューし、中長期的なビジョンに沿って、事業戦略と連動させています。

取締役会においては、サステナビリティに関する意思決定の迅速化を図るため、毎四半期ごとに開催されるサステナビリティ審議会を通じ、各事業部門からのフィードバックを取り入れながら、長期的なサステナビリティ目標を含む各種施策の進捗状況を確認しています。具体的な実績として、2022年度は女性の管理職率を前年比5%向上させ20%を達成しました。この結果は、年間を通じて実施された女性リーダーシッププログラム「Future Leader Initiative」の成果として高く評価されています。

サステナビリティ委員会に関しては、多角的な視点からサステナビリティ戦略を議論するために、外部の専門家も委員として迎え入れています。この委員会の主要な役割は、サステナビリティに貢献する具体的なプロジェクトの提案・検討、そして「NCM（Non CO2 Movement）」や「Zero Waste Vision 2035」などの環境に対する大規模な取り組みの監視です。2030年までのCO2排出量削減100%達成を目標に設定し、その目標達成のために、リサイクル可能なパッケージ材の開発や再生可能エネルギーの利用促進計画を進めています。

気候関連財務情報開示においては、国際的に認知されているTCFD（Task Force on Climate-related Financial Disclosures）の勧告に準拠し、気候変動リスクが当社の財務に与える影響と、それに対するガバナンス、戦略、リスク管理のアプローチを詳細に説明しています。さらに、これらの情報を利害関係者に定期的に報告し、透明性の高い気候リスクの開示を心掛けています。

ステークホルダーとの関係性に関しては、定期的な意見交換会の実施、満足度調査の実施、企業倫理研修への招待など、積極的に双方向のコミュニケーションを取り組んできました。これらの取り組みは、弊社の商社・卸売り特有のビジネスモデルにおいて、サプライチェーン全体でのサステナビリティ思考の浸透を図り、同時に多様なステークホルダーとの信頼関係を築くために不可欠なものです。

その他には、地域社会への貢献活動として、「Green Local Partnership」プログラムを展開し、当社の事業所がある各地域の環境保全活動に従業員が参加するとともに、地域企業やNGOとの連携を深めることで、持続可能な社会づくりに実質的な貢献をしています。これらの一連の活動は、事業の持続性を高めるだけでなく、公共の利益と企業価値の向上に資するよう努めています。"
自動車・輸送機 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、サステナビリティの推進を企業経営の重要な柱と位置づけており、環境、社会、そしてガバナンス（ESG）の各側面において積極的な取り組みを進めています。特にガバナンスに関しては、強固で透明性の高い企業運営を実現するため、一連の改革を行ってきた結果、業界内でも高く評価されています。具体的には、全経営陣のパフォーマンスとリンクした報酬体系の策定を実施し、そこにはサステナビリティ目標達成の指標も含まれています。女性の管理職率は2021年度に20％を達成し、2025年度までに30％への引き上げを目指しております。これにより、多様性と包摂性の向上を図っています。

取締役会においては、サステナビリティに関連する課題への取り組みを重要な議題の一つとして位置づけ、年に4回の特別会議を通じて評価と監督を行っています。取締役会のメンバーには、サステナビリティの専門知識を持つ独立性の高い外部の専門家も含まれており、当社の戦略に深い洞察を提供しています。また、取引先や業界団体との連携による「自動車業界倫理憲章」の策定にも積極的に関わっており、業界の持続可能な発展に寄与しています。

サステナビリティ委員会に関しては、環境保護、従業員の福祉、社会的責任を含む幅広いトピックをカバーしています。委員会は毎月開催され、当社のサステナビリティ戦略である「クリーンモビリティ2050」の進捗を監視しています。この戦略の一環として、当社は2030年までに自動車排出CO2量を現行比50%削減し、2050年までには100%電動化を達成するといった野心的な目標「NCM（Non Co2 Movement）」を掲げています。

気候関連財務情報開示においては、国際的な基準に従って、温室効果ガス排出量、エネルギーの使用状況、リスク管理のプロセスなどを詳細に開示しています。2022年度の報告からは、気候変動によるリスクと機会評価をシナリオ分析に基づいて実施し、それに応じた中長期の事業戦略の調整に取り組んでおります。

ステークホルダーとの関係性に関しては、定期的な意識調査や社会的責任ダイアログの開催を通じて、消費者、株主、地域社会など様々な関係者の声を経営に反映しています。特にエンドユーザーである顧客との対話を重視し、当社の「モビリティ・フォーラム」では年に2回、製品開発からアフターサービスまでのありとあらゆる意見交換を行っています。

その他には、国際的なサプライチェーン標準の導入や、新興国での人権への配慮を含むグローバルなコンプライアンスプログラムを強化しています。また、未来志向の研究開発への投資を増やし、自動運転技術やエコフレンドリーな新素材への対応を進めており、持続可能な社会への貢献と業界のリーダーとしての地位を保持し続けることを目指しています。"
情報通信・サービスその他 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、サステナビリティに対する取り組みを経営の中心に据え、包括的なガバナンス体制の構築に努めています。この取り組みは情報通信・サービス業界の進化と共に、企業活動の環境および社会への影響を重視する現代において、さらにその意義を増しています。具体的には、女性の管理職率を2025年までに30%に引き上げるプロジェクト「Women's Leadership 2025（WL25）」を推進し、多様な人材が活躍する組織作りを目指しております。加えて、障がい者の雇用促進・育成プログラムを充実させ、全従業員のダイバーシティとインクルージョン意識のレベルアップを図っています。

取締役会においては、ESG（Environmental, Social, and Governance）に特化した議題を定期的に取り上げ、サステナビリティ目標の具体的な進捗管理を行っています。2022年度には、取締役会の全会議でESG関連のケーススタディを行い、取締役個々の認識の均一化を図りました。また、外部の専門家を招聘し、独自の「XX Expert Panel」を設け、多角的な視点からのアドバイスを受けながら、取締役会の質の向上に努めております。

サステナビリティ委員会に関しては、社外の専門家を含めたメンバーで構成し、四半期ごとにサステナビリティに関する課題と機会について深く議論し、企業価値向上への具体的戦略を策定しています。委員会を通じて、当社の「Green Infinity Project」が推進されており、その一環として2030年までにCO2排出量を50%削減する目標を掲げ、再生可能エネルギーの導入拡大やエネルギー効率の改善に積極的に取り組んでいます。

気候関連財務情報開示においては、「Non Co2 Movement（NCM）」と呼ばれる当社オリジナルのイニシアチブを通じ、気候変動リスクの分析とそれに基づく情報開示を徹底しています。この枠組みにより、投資家や顧客に対して、当社の気候変動に対するリスクマネジメントのアプローチを透明に報告し、株主価値の保全と高い投資家信頼の維持に努めています。

ステークホルダーとの関係性に関しては、「Dialog for Value Co-creation（DVC）」プログラムを採用し、顧客、地域社会、サプライヤー、従業員などさまざまなステークホルダーとの対話を重視しています。開催されたセミナーやワークショップを通じて得られたフィードバックは、その場でリアルタイムに収集され、新しいサービス開発や既存サービスの改善に生かされています。

その他には、サイバーセキュリティの強化にも力を入れ、年間を通じたセキュリティトレーニングの実施や、最新の技術を導入した「Cyber Fortification Initiative（CFI）」プロジェクトに巨額の投資を行っております。この取組みにより、情報漏えい事故の件数を前年比で75%削減し、データ保護に対する信頼性と安全性を高めています。

これらのガバナンスに関する取り組み全てにおいて、当社は情報通信・サービス業界の進化に応じた革新性と堅実性を追求し続け、持続可能な社会づくりに貢献してまいります。"
小売 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、サステナビリティの推進を通じて社会的責任を果たし、持続可能な成長を実現することを企業理念としています。この目標を達成するため、私たちは積極的に環境保護や社会貢献の取り組みを行い、透明性の高い運営を心がけています。具体的には、2022年度に女性の管理職比率を20%に引き上げるなど、ダイバーシティの推進に成功しており、多様な価値観を尊重する企業風土を創造しています。また、「Zero Waste Policy」に基づき、2030年までに店舗および物流における全廃棄物のリサイクル率を95%に達成する目標を設定しており、廃棄物削減に向けたノウハウを業界内外に共有しています。

取締役会においては、サステナビリティ目標達成に向けた戦略立案と監督機能を強化しています。2021年には、「S-Tech 2030」というサステナビリティ統合技術戦略を策定し、それに基づいた商品開発やサプライチェーンの最適化を推進しています。取締役会では、これらの戦略を定期的に見直し、各部門が適時かつ適切に行動をとれるように情報共有と意思決定を進めています。

サステナビリティ委員会に関しては、企業活動における環境や社会への影響に関する詳細なレビューと問題解決へ向けたアクションプランの策定を担当しています。特に小売業界における課題である環境負荷の高い包装材の使用削減に取り組み、「Eco-Package Initiative 2025」を通じて、消費者にもサステナブルな選択肢を提供しています。

気候関連財務情報開示においては、「Green Accounting Standards」を導入し、CO2排出量、エネルギー使用量、水資源の使用状況などを詳細に報告しています。これにより投資家は当社の環境リスク管理状況を正確に把握でき、2030年までにCO2排出量を100%削減を目指す「NCM（Non Co2 Movement)」計画の進捗状況も明確に示されています。

ステークホルダーとの関係性に関しては、定期的な対話を通じてお客様や地域コミュニティ、供給業者からのフィードバックを活かし、ビジネスモデルやサービスの改善に役立てています。例えば、「Community First Program」では、地域の生産者から仕入れた商品のプロモーションを通じて地域経済の活性化に貢献しています。

その他には、エンプロイーの健康および安全を確保する「Healthy Retailing Project」を立ち上げ、メンタルヘルスや労働環境の構築にも注力しています。これらの総合的なガバナンスとサステナビリティへの取り組みにより、当社は社会から信頼される企業を目指しており、それが結果として経営成績の向上にも寄与しています。"
運輸・物流 ,ガバナンスに関する事項,取締役会,サステナビリティ委員会,気候関連財務情報開示,ステークホルダーとの関係性,その他,"当社は、持続可能な発展と環境への影響低減に注力し、運輸・物流分野における責任とリーダーシップを確立するべく、強固なガバーナンス体制を構築してきました。経営戦略の策定のみならず、社会的責任や環境保全に向けた取り組みについても、当社のガバナンスは効果的な監督を行い、サステナビリティに関する目標を達成するための基盤として機能しています。

取締役会においては、サステナビリティに関連する戦略的意思決定を迅速に行えるように、定期的な環境負荷評価報告セッションを設けています。2022年度からは、女性の管理職比率を20%に引き上げる計画「Women's Leadership Initiative」を開始し、取締役会の女性比率を25%まで向上させることに成功しました。これにより、ダイバーシティの推進とともにガバナンス体制の強化が進み、新たな視点が経営に取り入れられるようになりました。

サステナビリティ委員会に関しては、専門家と内部メンバーのコラボレーションにより、高い専門性を備えた意思決定を支援しています。当委員会は、運送効率の改善と排出ガス削減を目指す「Eco-Logistics 2025」プロジェクトにおいて中心的役割を果たし、電気トラック導入によるCO2排出量の25%削減を実現しました。さらに、従業員向けの環境意識向上プログラム「Green Mindset Training」を通じて、環境保全活動における社内外の意識改革に取り組んでいます。

気候関連財務情報開示においては、投資家やクライアントに対して透明性の高い情報提供を行う「Transparent Climate Report Initiative」という枠組みを設けました。この取り組みにより、当社の環境負荷の実態と、2030年までにCO2排出量100%削減を目標に掲げる「NCM（Non CO2 Movement）」プランの進捗を、明確に報告しています。この報告は、ESG評価の向上に大いに貢献し、財務パフォーマンスのみならず、サステナビリティの観点からの信頼構築にも寄与しています。

ステークホルダーとの関係性に関しては、企業価値の向上と社会的責任の両立を目指してきました。顧客、サプライヤー、地域社会との対話を深める「Partnership for Sustainability」フォーラムを定期的に開催し、物流業界特有の課題についての共通理解を深め、共同で解決策を模索しています。例えば、サプライチェーン全体での包括的なCO2排出量削減目標を設定し、それを実現するための共同研究プロジェクトに多くのパートナーが参画しています。

その他には、企業の社会的責任を果たすために、「Community & Logistics Harmony」プログラムを展開しています。このプログラムでは、運送中の騒音や排ガスを抑制する技術革新に携わりつつ、従業員が地域社会のボランティア活動に積極的に参加することで、地域と企業が共に成長するエコシステムを創出しています。これは、サステナビリティの観点からの当社の取り組みを象徴する例の一つであり、物流企業が地域社会と協調して進めるべき活動として強く推進しているものです。"
